ID_Venda;Data;ID_Produto;ID_Cliente;ID_Vendedor;Quantidade;Preco_Unitario;Desconto_Pct;Valor_Bruto;Valor_Desconto;Valor_Total;Canal_Venda;arquivo_origem
V00001;2024-03-04;P013;C003;V07;1;150.36;0.05;150.36;7.52;142.84;Marketplace;dataset_vendas_fake.xlsx
V00002;2024-10-22;P007;C023;V05;1;2478.75;0.0;2478.75;0.0;2478.75;Loja Física;dataset_vendas_fake.xlsx
V00003;2024-12-04;P008;C025;V08;1;1863.79;0.0;1863.79;0.0;1863.79;Loja Física;dataset_vendas_fake.xlsx
V00004;2024-04-29;P004;C013;V07;2;226.3;0.2;452.6;90.52;362.08;Vendedor Externo;dataset_vendas_fake.xlsx
V00005;2024-11-21;P012;C006;V06;2;860.81;0.0;1721.62;0.0;1721.62;Marketplace;dataset_vendas_fake.xlsx
V00006;2024-04-17;P009;C023;V05;1;339.12;0.0;339.12;0.0;339.12;E-commerce;dataset_vendas_fake.xlsx
V00007;2024-09-30;P008;C006;V06;1;1622.32;0.0;1622.32;0.0;1622.32;Vendedor Externo;dataset_vendas_fake.xlsx
V00008;2024-05-18;P018;C008;V08;1;838.4;0.0;838.4;0.0;838.4;Loja Física;dataset_vendas_fake.xlsx
V00009;2024-04-27;P002;C026;V07;1;4269.47;0.0;4269.47;0.0;4269.47;Vendedor Externo;dataset_vendas_fake.xlsx
V00010;2024-05-17;P003;C007;V06;1;65.58;0.0;65.58;0.0;65.58;E-commerce;dataset_vendas_fake.xlsx
V00011;2024-12-01;P016;C013;V07;2;628.65;0.0;1257.3;0.0;1257.3;E-commerce;dataset_vendas_fake.xlsx
V00012;2024-05-15;P005;C008;V08;4;2381.96;0.1;9527.84;952.78;8575.06;Vendedor Externo;dataset_vendas_fake.xlsx
V00013;2024-10-25;P013;C012;V01;1;122.0;0.0;122.0;0.0;122.0;E-commerce;dataset_vendas_fake.xlsx
V00014;2024-09-17;P016;C003;V02;1;620.5;0.0;620.5;0.0;620.5;Loja Física;dataset_vendas_fake.xlsx
V00015;2024-03-19;P006;C026;V07;1;1097.78;0.0;1097.78;0.0;1097.78;Loja Física;dataset_vendas_fake.xlsx
V00016;2024-07-16;P013;C020;V06;2;129.11;0.0;258.22;0.0;258.22;Marketplace;dataset_vendas_fake.xlsx
V00017;2024-10-10;P001;C022;V01;1;4207.04;0.2;4207.04;841.41;3365.63;Marketplace;dataset_vendas_fake.xlsx
